DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID5020447,"2,4-Dichlorophenyl benzenesulfonate",97-16-5,C12H8Cl2O3S,301.957121,Active,0.688748214,0.839992507
DTXSID5020449,Dichlorvos,62-73-7,C4H7Cl2O4P,219.945901,Inactive,0,0
DTXSID5020493,Dimethyl phosphonate,868-85-9,C2H7O3P,110.013281,Inactive,0,0
DTXSID5020497,"1,2-Dimethyl-5-nitroimidazole",551-92-8,C5H7N3O2,141.053826,Inactive,0,0
DTXSID5020499,"N,N-Dimethylacetamide",127-19-5,C4H9NO,87.068414,Inactive,0,0
DTXSID5020520,"2,2-Dimethylvinyl chloride",513-37-1,C4H7Cl,90.023628,Inactive,0,0
DTXSID5020528,"2,6-Dinitrotoluene",606-20-2,C7H6N2O4,182.032757,Inactive,0,0
DTXSID5020570,Sodium erythorbate,6381-77-7,C6H7NaO6,198.014032,Inactive,0,0
DTXSID5020576,17alpha-Ethinylestradiol,57-63-6,C20H24O2,296.17763,Active,1.290058311,1.055998781
DTXSID5020601,"4,5-Dihydro-2-mercaptoimidazole",96-45-7,C3H6N2S,102.025169,Inactive,0,0
DTXSID5020603,Nabam-sodium,142-59-6,C4H6N2Na2S4,255.920921,Inactive,0,0
DTXSID5020605,2-Ethyl-1-hexanol,104-76-7,C8H18O,130.135765,Inactive,0,0
DTXSID5020607,Di(2-ethylhexyl) phthalate,117-81-7,C24H38O4,390.27701,Inactive,0,0
DTXSID5020653,Gentian Violet,548-62-9,C25H30ClN3,407.212826,Active,3.657437329,2.22634616
DTXSID5020730,8-Hydroxyquinoline,148-24-3,C9H7NO,145.052764,Inactive,0,0
DTXSID5020732,Ibuprofen,15687-27-1,C13H18O2,206.13068,Inactive,0,0
DTXSID5020738,Indole-3-acetic acid,87-51-4,C10H9NO2,175.063329,Inactive,0,0
DTXSID5020784,Lovastatin,75330-75-5,C24H36O5,404.256274,Active,0.93366189,0.758099759
DTXSID5020811,Mercuric chloride,7487-94-7,Cl2Hg,271.908348,Active,1.031995061,0.997657813
DTXSID5020815,Metepa,57-39-6,C9H18N3OP,215.118749,Inactive,0,0
DTXSID5020819,Methidathion,950-37-8,C6H11N2O4PS3,301.961857,Inactive,0,0
